ID KODE NAMA JENIS_PETAK WARNA
1 GO Petak_Mulai SPESIAL DEFAULT
2 PPH Pajak_Penghasilan PAJAK DEFAULT
3 PBM Pajak_Barang_Mewah PAJAK DEFAULT
7 KSP Kesempatan KARTU DEFAULT
8 DNU Dana_Umum KARTU DEFAULT
11 FES Festival FESTIVAL DEFAULT
12 PEN Penjara SPESIAL DEFAULT
13 PPH Pajak_Penghasilan PAJAK DEFAULT
18 PBM Pajak_Barang_Mewah PAJAK DEFAULT
22 KSP Kesempatan KARTU DEFAULT
23 BBP Bebas_Parkir SPESIAL DEFAULT
27 DNU Dana_Umum KARTU DEFAULT
32 FES Festival FESTIVAL DEFAULT
34 PPJ Petak_Pergi_ke_Penjara SPESIAL DEFAULT
